Designator,Mid X,Mid Y,Rotation,Layer
C1,56.15,29.25,180.0,top
C10,52.275,26.1,0.0,top
C11,30.3,28.9,270.0,top
C12,28.1,28.9,90.0,top
C13,65.0,29.2,90.0,top
C14,21.85,26.85,90.0,top
C15,27.85,26.85,90.0,top
C16,33.85,26.85,90.0,top
C2,61.25,33.85,0.0,top
C3,58.9,29.5,90.0,top
C4,55.4,40.2,270.0,top
C5,61.25,31.35,90.0,top
C6,59.6,31.35,90.0,top
C7,53.1,24.5,180.0,top
C8,36.0,40.775,270.0,top
C9,59.3,32.2,0.0,top
D1,37.425,25.575,0.0,top
D10,19.425,25.575,0.0,top
D11,20.5,46.5,0.0,top
D2,35.425,25.575,0.0,top
D3,33.425,25.575,0.0,top
D4,31.425,25.575,0.0,top
D5,29.425,25.575,0.0,top
D6,27.425,25.575,0.0,top
D7,25.425,25.575,0.0,top
D8,23.425,25.575,0.0,top
D9,21.425,25.575,0.0,top
J2,10.0,28.8,0.0,top
J3,10.0,41.2,0.0,top
J4,64.797431,39.497885,90.0,top
J5,27.05,35.800000000000004,180.0,top
L1,58.8,25.6,270.0,top
R1,60.7,31.35,90.0,top
R10,66.2,29.2,270.0,top
R11,31.4,28.9,90.0,top
R12,29.2,28.9,90.0,top
R13,27.0,28.9,90.0,top
R14,25.9,28.9,90.0,top
R15,24.8,28.9,90.0,top
R2,55.4,41.6,270.0,top
R3,60.15,31.35,270.0,top
R4,59.05,31.35,90.0,top
R5,33.6,28.9,90.0,top
R6,32.5,28.9,90.0,top
R7,65.762431,34.297885,0.0,top
R8,65.762431,44.597885,180.0,top
R9,65.6,29.2,270.0,top
U1,46.5,35.0,0.0,top
U2,60.7,29.65,270.0,top
U3,66.1,26.1,90.0,top
U4,18.2,43.1,270.0,top
U5,18.3,45.8,270.0,top
