Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0805,1,22uF 25V,C45783
"C10, C11, C12, C14, C15, C16, C5, C8, C9",C_0201,9,100nF,C76934
C13,C_0201,1,100nF,
"C17, C35",CP_EIA-3528-21_Kemet-B,2,220uF Tant,C122649
"C2, C3",C_0402,2,100nF 25V,C56392
C4,C_0201,1,1uF,
C6,C_0201,1,18pF,C62164
C7,C_0805,1,47uF 6V,C16780
"D1, D10, D2, D3, D4, D5, D6, D7, D8, D9",SMD1615,10,XL-1010RGBC-WS2812B,C5349954
D11,SMD1615-Side,1,XL-1010RGBC-WS2812B,C5349954
"D12, D13, D14",DFN1006-2L,3,~,C5137770
J2,RJ12_Horizontal,1,RJ12,C77859
J3,USB_A_Horizontal,1,USB,C720525
J4,USB-C-Socket-H,1,USB-C-Socket-V,C709357
J5,TF_PUSH,1,TF_PUSH,C393941
J6,LCD2,1,LCD,C42380985
L1,L_5x5,1,4.7uH,C307876
"R1, R3",R_0201,2,150k 1%,C310173
"R10, R9",R_0201,2,27R,C273295
"R11, R12, R13, R14, R15, R2, R5, R6",R_0201,8,10K,C106225
R4,R_0201,1,33k 1%,C320835
"R7, R8",R_0201,2,5K1,C270344
SW3,PS-12E15,1,SW_Push_SPDT,C2884730
U1,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,C3013941
U2,SOT-5x3-6,1,TPS562246,C41833479
U3,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,FT231XQ,C132159
"U4, U5",WCSP-4-0.78x0.78,2,TPS22916CNYFPR,C2655476
